Timestamp,data
2025-07-04 16:35:15.992607,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:16.088266,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:16.219569,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:16.319480,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:16.419595,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:16.520042,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:16.620425,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:16.715425,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:16.823435,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:16.916033,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:17.021377,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:17.106430,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:17.216509,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:17.305658,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:17.430268,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:17.516170,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:17.627239,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:17.707085,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:17.819651,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:17.920121,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025-07-04 16:35:18.016630,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
