Timestamp_capture,Speed,Angle,Timestamp_internal,State
2025-07-08 11:03:41.151711,"[0, -6, -12, 5]","[20869, 16651, 17996, 17878]","[54456, 54451, 54453, 54454]","[0, 0, 0, 0]"
2025-07-08 11:03:41.251784,"[2, -8, -3, 2]","[21162, 16355, 17673, 18204]","[54516, 54511, 54513, 54514]","[0, 0, 0, 0]"
2025-07-08 11:03:41.352060,"[5, 2, -5, 8]","[21427, 16121, 17407, 18445]","[54576, 54571, 54573, 54574]","[0, 0, 0, 0]"
2025-07-08 11:03:41.452421,"[0, 3, -4, -3]","[21608, 15962, 17240, 18611]","[54636, 54631, 54633, 54634]","[0, 0, 0, 0]"
2025-07-08 11:03:41.553699,"[6, 3, -4, -1]","[21716, 15856, 17147, 18721]","[54696, 54691, 54693, 54694]","[0, 0, 0, 0]"
2025-07-08 11:03:41.657658,"[3, -4, -5, 3]","[21777, 15790, 17102, 18788]","[54756, 54751, 54753, 54754]","[0, 0, 0, 0]"
2025-07-08 11:03:41.752926,"[-20, 0, 0, -2]","[21773, 15762, 17084, 18813]","[54816, 54811, 54813, 54814]","[0, 0, 0, 0]"
2025-07-08 11:03:41.851845,"[-37, -46, -39, -48]","[19228, 13296, 14731, 16432]","[54876, 54871, 54873, 54874]","[0, 0, 0, 0]"
2025-07-08 11:03:41.952172,"[-37, -57, -58, -45]","[16995, 10881, 12170, 13932]","[54936, 54931, 54933, 54934]","[0, 0, 0, 0]"
2025-07-08 11:03:42.055184,"[-45, -56, -55, -47]","[14514, 8270, 9385, 11198]","[54996, 54991, 54993, 54994]","[0, 0, 0, 0]"
2025-07-08 11:03:42.152529,"[-57, -44, -46, -57]","[11591, 5510, 6671, 8384]","[55056, 55051, 55053, 55054]","[0, 0, 0, 0]"
2025-07-08 11:03:42.252277,"[-53, -54, -62, -38]","[8723, 2575, 4053, 5680]","[55116, 55111, 55113, 55114]","[0, 0, 0, 0]"
2025-07-08 11:03:42.353183,"[-54, -41, -54, -52]","[5971, 32462, 1029, 2849]","[55176, 55171, 55173, 55174]","[0, 0, 0, 0]"
2025-07-08 11:03:42.453108,"[-47, -53, -45, -53]","[3168, 29723, 30930, 32616]","[55236, 55231, 55233, 55234]","[0, 0, 0, 0]"
2025-07-08 11:03:42.551659,"[-52, -50, -58, -56]","[259, 26904, 28072, 29623]","[55296, 55291, 55293, 55294]","[0, 0, 0, 0]"
2025-07-08 11:03:42.652115,"[-54, -58, -56, -42]","[30119, 23981, 25290, 26810]","[55356, 55351, 55353, 55354]","[0, 0, 0, 0]"
2025-07-08 11:03:42.753221,"[-59, -51, -71, -55]","[27170, 20944, 22371, 24045]","[55416, 55411, 55413, 55414]","[0, 0, 0, 0]"
2025-07-08 11:03:42.851670,"[-46, -57, -39, -58]","[24344, 18067, 19330, 21133]","[55476, 55471, 55473, 55474]","[0, 0, 0, 0]"
2025-07-08 11:03:42.951712,"[-21, -12, -25, -28]","[22448, 16149, 17323, 19085]","[55536, 55531, 55533, 55534]","[0, 0, 0, 0]"
2025-07-08 11:03:43.052096,"[0, -6, -2, 2]","[21898, 15527, 16637, 18374]","[55596, 55591, 55593, 55594]","[0, 0, 0, 0]"
2025-07-08 11:03:43.154985,"[-5, -1, -1, 1]","[21926, 15507, 16640, 18407]","[55656, 55651, 55653, 55654]","[0, 0, 0, 0]"
2025-07-08 11:03:43.253321,"[-4, -2, -1, -1]","[21948, 15479, 16617, 18433]","[55716, 55711, 55713, 55714]","[0, 0, 0, 0]"
2025-07-08 11:03:43.355108,"[3, -2, 2, -5]","[21956, 15475, 16613, 18440]","[55776, 55771, 55773, 55774]","[0, 0, 0, 0]"
2025-07-08 11:03:43.451774,"[1, 4, -1, -3]","[21951, 15480, 16619, 18438]","[55836, 55831, 55833, 55834]","[0, 0, 0, 0]"
2025-07-08 11:03:43.561457,"[1, -2, -1, 1]","[21951, 15480, 16620, 18436]","[55896, 55891, 55893, 55894]","[0, 0, 0, 0]"
2025-07-08 11:03:43.654472,"[-1, 2, -2, 4]","[21954, 15478, 16617, 18441]","[55956, 55951, 55953, 55954]","[0, 0, 0, 0]"
2025-07-08 11:03:43.755118,"[2, 3, -1, 1]","[21952, 15478, 16619, 18439]","[56016, 56011, 56013, 56014]","[0, 0, 0, 0]"
2025-07-08 11:03:43.853739,"[-2, -2, 1, -3]","[21951, 15478, 16620, 18440]","[56076, 56071, 56073, 56074]","[0, 0, 0, 0]"
2025-07-08 11:03:43.953013,"[-2, 0, -3, 2]","[21953, 15477, 16619, 18442]","[56136, 56131, 56133, 56134]","[0, 0, 0, 0]"
2025-07-08 11:03:44.056427,"[2, 0, 1, 0]","[21952, 15478, 16620, 18441]","[56196, 56191, 56193, 56194]","[0, 0, 0, 0]"
2025-07-08 11:03:44.153543,"[60, -21, -23, 14]","[22579, 15183, 16354, 18707]","[56256, 56251, 56253, 56254]","[0, 0, 0, 0]"
2025-07-08 11:03:44.252076,"[70, -50, -65, 70]","[27254, 12565, 13795, 21111]","[56316, 56311, 56313, 56314]","[0, 0, 0, 0]"
2025-07-08 11:03:44.352115,"[78, -81, -82, 85]","[31470, 8785, 9677, 25598]","[56376, 56371, 56373, 56374]","[0, 0, 0, 0]"
2025-07-08 11:03:44.453579,"[61, -75, -56, 77]","[2899, 4758, 5571, 29938]","[56436, 56431, 56433, 56434]","[0, 0, 0, 0]"
