Timestamp,Acc_X (g),Acc_Y (g),Acc_Z (g),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s)
2025-07-04 16:35:11.334029,0.01588,-0.01321,-1.01228,-0.02264,0.01769,1.35506
2025-07-04 16:35:11.441393,0.02004,-0.02608,-1.0106,-0.04139,0.00563,1.41327
2025-07-04 16:35:11.534801,0.02982,-0.00273,-1.01,-0.03129,-0.02433,1.40725
2025-07-04 16:35:11.637271,0.03605,0.02378,-1.01828,-0.02273,-0.00527,1.40487
2025-07-04 16:35:11.737151,0.02868,0.00556,-1.02143,-0.03011,0.0027,1.42193
2025-07-04 16:35:11.834808,0.00436,-0.00149,-1.02278,-0.00609,-0.04442,1.41877
2025-07-04 16:35:11.940854,0.02916,0.00706,-1.01475,-0.01368,-0.03438,1.4037
2025-07-04 16:35:12.035203,0.03215,-0.00921,-1.0189,-0.00453,-0.00399,1.41751
2025-07-04 16:35:12.134789,0.01983,0.05944,-1.0236,0.01219,-0.02411,0.54169
2025-07-04 16:35:12.234133,0.02467,0.08044,-1.00344,-0.00262,-0.00217,0.08326
2025-07-04 16:35:12.340130,0.0031,0.00019,-1.00606,-0.00296,0.00432,0.01784
2025-07-04 16:35:12.439544,0.01275,0.0068,-1.0071,0.0044,0.00546,0.01556
2025-07-04 16:35:12.528171,0.00588,0.00509,-1.00855,0.00236,0.00222,0.00968
2025-07-04 16:35:12.639578,0.00364,0.00594,-1.00795,0.00188,0.00308,0.00583
2025-07-04 16:35:12.729775,0.00817,0.00534,-1.00975,-4e-05,0.00385,0.00992
2025-07-04 16:35:12.843637,0.0076,0.00611,-1.01006,0.00124,0.00222,0.00866
2025-07-04 16:35:12.952259,0.0057,0.0069,-1.00701,-0.00074,0.00445,0.01025
2025-07-04 16:35:13.038083,0.00807,0.00571,-1.00811,0.00112,0.004,0.01224
2025-07-04 16:35:13.141881,0.00777,0.0054,-1.00778,-0.00187,0.0034,0.0134
2025-07-04 16:35:13.238376,0.06474,0.00598,-0.99904,0.00216,0.04704,-0.00953
2025-07-04 16:35:13.349417,0.28058,0.01919,-1.0237,-0.02053,0.00323,0.09812
2025-07-04 16:35:13.463743,0.13007,-0.0178,-1.02587,0.04173,-0.03414,-0.02307
